Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C29, C3, C32, C33, C34, C35, C36, C37, C4, C5, C6, C7",0603,31,0.1uF,
"C10, C8",0603,2,4.3pF,
C100,0603,1,10uF,
"C22_1, C22_2, C22_3",0805,3,22uF,
C27,0603,1,1000pf,
C28,CP_Radial_D8.0mm_P3.50mm,1,150uF 35v,
C30,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,2200uF,
C31,0603,1,22uF,
C9,0603,1,4.7uF,
CRBG1,0603,1,51pF,
CTRANS1,0805,1,10uF 50v,
Cvcc1,0805,1,10uF,
D1,0603,1,LED,
"D12, D15",D_DO-201AE_P15.24mm_Horizontal,2,1.5KExxA,
D13,LED_0603,1,LED,
D14,TO-252-2,1,1N4007G,
D16,SOD-123,1,1N47xxA,
J8,AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,1,Conn_01x02_Pin,
LT1,MSOP-10_W3mm,1,~,
Q1,tk20a60u,1,tk20a60u,
Q2,IRFP150NPbF,1,IRFP150NPbF,
"Q3, Q4",SOT-23,2,MMBT3906,
"R1, R2, R3, R6, R7",0603,5,10k,
"R10, R11",2512,2,120Ω,
"R12, R13",0603,2,5k,
R4,0603,1,470,
R5,0603,1,20k,
R8,0603,1,100Ω,
"R9, RCHARGE1",0603,2,1kΩ,
RDCM1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,42kΩ,
RDONE1,0603,1,100kΩ,
RSOURCE1,2512,1,0.01Ω,
RTRANS1,0603,1,0Ω,
RVOUT1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,30kΩ,
"SW2, SW3",SW_PUSH_6mm,2,SW_MEC_5E,
TRANS1,32052,1,~,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8Tx,
U2,SOT-223-3_TabPin2,1,V7805-1000,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
