Designator,Mid X,Mid Y,Rotation,Layer
C1,64.23,-12.68,0.0,top
C10,68.24,-12.68,0.0,top
C100,51.215,-38.175,0.0,top
C101,51.215,-40.645,0.0,top
C11,68.24,-15.19,0.0,top
C12,68.24,-17.7,0.0,top
C13,68.24,-20.21,0.0,top
C14,68.24,-22.72,0.0,top
C15,68.24,-25.23,0.0,top
C16,68.24,-27.74,0.0,top
C17,68.24,-30.25,0.0,top
C18,68.24,-32.76,0.0,top
C19,72.25,-12.68,0.0,top
C2,64.23,-15.19,0.0,top
C20,72.25,-15.19,0.0,top
C21,72.25,-17.7,0.0,top
C22,72.25,-20.21,0.0,top
C22_1,25.915,-41.875,0.0,top
C22_2,25.915,-44.625,0.0,top
C22_3,25.915,-47.375,0.0,top
C23,72.25,-22.72,0.0,top
C24,72.25,-25.23,0.0,top
C25,72.25,-27.74,0.0,top
C26,72.25,-30.25,0.0,top
C27,25.545,-56.255,0.0,top
C28,31.709698,-57.345,0.0,top
C29,51.215,-35.705,0.0,top
C3,64.23,-17.7,0.0,top
C30,15.015,-44.125,0.0,top
C31,72.25,-32.76,0.0,top
C32,76.26,-12.68,0.0,top
C33,76.26,-15.19,0.0,top
C34,76.26,-17.7,0.0,top
C35,67.69,-68.98,0.0,top
C36,67.69,-71.49,0.0,top
C37,67.69,-74.0,0.0,top
C4,64.23,-20.21,0.0,top
C5,64.23,-22.72,0.0,top
C6,64.23,-25.23,0.0,top
C7,64.23,-27.74,0.0,top
C8,64.23,-30.25,0.0,top
C9,64.23,-32.76,0.0,top
CRBG1,25.545,-58.765,0.0,top
CTRANS1,25.915,-50.125,0.0,top
Cvcc1,25.915,-52.875,0.0,top
D1,76.26,-20.21,0.0,top
D12,67.76,-57.45,0.0,top
D13,56.995,-32.295,0.0,top
D14,18.305,-59.025,0.0,top
D15,67.76,-64.3,0.0,top
D16,58.77,-29.385,0.0,top
J8,15.015,-51.375,0.0,top
LT1,57.345,-24.005,0.0,top
Q1,34.04,-44.02,0.0,top
Q2,19.94,-36.95,0.0,top
Q3,57.515,-13.625,0.0,top
Q4,57.515,-18.075,0.0,top
R1,76.26,-22.72,0.0,top
R10,57.335,-36.915,0.0,top
R11,57.335,-41.805,0.0,top
R12,80.27,-17.7,0.0,top
R13,80.27,-20.21,0.0,top
R2,76.26,-25.23,0.0,top
R3,76.26,-27.74,0.0,top
R4,76.26,-30.25,0.0,top
R5,76.26,-32.76,0.0,top
R6,80.27,-12.68,0.0,top
R7,80.27,-15.19,0.0,top
R8,51.215,-43.115,0.0,top
R9,51.215,-45.585,0.0,top
RCHARGE1,51.215,-48.055,0.0,top
RDCM1,52.475,-52.545,0.0,top
RDONE1,25.545,-61.275,0.0,top
RSOURCE1,57.335,-46.695,0.0,top
RTRANS1,25.545,-63.785,0.0,top
RVOUT1,52.475,-55.695,0.0,top
SW2,63.8,-36.45,0.0,top
SW3,63.8,-45.0,0.0,top
TRANS1,41.77,-22.9,0.0,top
U1,45.295,-56.675,0.0,top
U2,44.515,-38.595,0.0,top
U3,44.515,-46.845,0.0,top
U5,55.225,-60.495,0.0,top
